Name,Link,Description,Date
CS4S: High School,/hs-2016/,"An introduction to Coding for High School teachers. This workshop involved activities that used a variety of technologies (for example: <a href=""http://appinventor.mit.edu/explore/"" target=""_blank"">AppInventor</a> and <a href=""https://www.r-project.org/about.html"" target=""_blank"">R</a>.","November, 2016"
CS4S: Primary School,/ps-2016/,"An introduction to Coding for Primary School teachers. This workshop involved activities with a variety of technologies (for example: <a href=""https://scratch.mit.edu/"" target=""_blank"">Scratch</a> and  <a href=""https://www.lego.com/en-us/mindstorms"" target=""_blank"">LEGO Mindstorms</a>.","July, 2016"
